global_step,seed,method,env_id,mean_episode_reward,std_episode_reward,mean_success_rate,std_success_rate,mean_episode_length,label,experiment,source_path
220000,0,sac,FetchPushDense-v3,-10.538665580736756,3.750750259315528,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
230000,0,sac,FetchPushDense-v3,-10.347378936403954,4.071994718346734,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
240000,0,sac,FetchPushDense-v3,-8.552319375574589,3.3531094954166853,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
250000,0,sac,FetchPushDense-v3,-6.911792250368296,4.667371920258351,0.15,0.3570714214271425,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
260000,0,sac,FetchPushDense-v3,-8.074254484442033,3.717430099141396,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
270000,0,sac,FetchPushDense-v3,-8.328434708310889,4.097373161332801,0.1,0.3,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
280000,0,sac,FetchPushDense-v3,-8.303974992524072,3.4424687904148907,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
290000,0,sac,FetchPushDense-v3,-8.245615299041377,3.4268071722412876,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
300000,0,sac,FetchPushDense-v3,-9.458281475481812,4.329466572850943,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
310000,0,sac,FetchPushDense-v3,-9.2386167799651,3.5963864040077764,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
320000,0,sac,FetchPushDense-v3,-8.203490607780903,3.93377534471786,0.1,0.3,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
330000,0,sac,FetchPushDense-v3,-8.68735713444747,3.8945697293632215,0.1,0.3,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
340000,0,sac,FetchPushDense-v3,-7.8827702193969245,2.468012532279233,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
350000,0,sac,FetchPushDense-v3,-9.094378492265074,3.5642838743083964,0.1,0.3,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
360000,0,sac,FetchPushDense-v3,-9.180685273842542,5.287036917323749,0.2,0.4000000000000001,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
370000,0,sac,FetchPushDense-v3,-8.667861279116739,4.281724634280279,0.1,0.3,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
380000,0,sac,FetchPushDense-v3,-8.11900768881671,2.4992343317047636,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
390000,0,sac,FetchPushDense-v3,-8.787759861436085,3.1694003825112875,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
400000,0,sac,FetchPushDense-v3,-8.645479448790363,3.574074734848094,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
410000,0,sac,FetchPushDense-v3,-8.281137157975161,4.638315224193615,0.15,0.3570714214271425,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
420000,0,sac,FetchPushDense-v3,-9.013712834454974,3.936867541032589,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
430000,0,sac,FetchPushDense-v3,-9.479400010178294,4.004012517599322,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
440000,0,sac,FetchPushDense-v3,-8.712713159537305,3.0266154638015745,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
450000,0,sac,FetchPushDense-v3,-8.3446221372591,3.483556074066901,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
460000,0,sac,FetchPushDense-v3,-7.7103860963928526,4.317816760351202,0.15,0.3570714214271425,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
470000,0,sac,FetchPushDense-v3,-8.35443345782563,3.7722291252498863,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
480000,0,sac,FetchPushDense-v3,-8.561723769578842,4.57573529902521,0.15,0.3570714214271425,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
490000,0,sac,FetchPushDense-v3,-8.19842278659378,3.8013930761193184,0.15,0.3570714214271425,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
500000,0,sac,FetchPushDense-v3,-7.822685141247322,2.8602774974167926,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
0,0,sac_her,FetchPush-v3,-48.2,7.846018098373213,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
10000,0,sac_her,FetchPush-v3,-47.5,10.897247358851684,0.05,0.2179449471770336,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
20000,0,sac_her,FetchPush-v3,-45.0,15.0,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
30000,0,sac_her,FetchPush-v3,-47.5,10.897247358851684,0.05,0.2179449471770336,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
